,RegionID,SizeRank,RegionName,RegionType,StateName,Year,HomeownerAffordability,RenterAffordability,Geofips,rgdp,income_per_capita
48,394312,62,"Albuquerque, NM",msa,NM,2018,0.2458863047017151,0.2217834865883446,10740,42671307.0,42196.0
49,394312,62,"Albuquerque, NM",msa,NM,2019,0.2325670714885805,0.2231500010798215,10740,43920456.0,44616.0
50,394312,62,"Albuquerque, NM",msa,NM,2020,0.2276596741025881,0.2238315204815621,10740,43329662.0,48463.0
51,394312,62,"Albuquerque, NM",msa,NM,2021,0.2420920527167409,0.2438558916018752,10740,45653922.0,52372.0
52,394312,62,"Albuquerque, NM",msa,NM,2022,0.3233895879191659,0.2627042200699103,10740,47447327.0,54687.0
53,394312,62,"Albuquerque, NM",msa,NM,2023,0.3708669282240233,0.2664377105404585,10740,48602526.0,57278.0
54,394314,286,"Alexandria, LA",msa,LA,2015,0.2023018596213964,0.1947073414490437,10780,5990445.0,39273.0
55,394314,286,"Alexandria, LA",msa,LA,2016,0.2019481842507279,0.2275272506914493,10780,6109568.0,39871.0
56,394314,286,"Alexandria, LA",msa,LA,2017,0.2018504735841891,0.2490165510251435,10780,6081708.0,40300.0
57,394314,286,"Alexandria, LA",msa,LA,2018,0.2056595208476887,0.2361591963058938,10780,6161095.0,41872.0
58,394314,286,"Alexandria, LA",msa,LA,2019,0.1905025632800035,0.2494334666674055,10780,6158801.0,43553.0
59,394314,286,"Alexandria, LA",msa,LA,2020,0.1849553562632241,0.2495669568187598,10780,5997466.0,47669.0
60,394314,286,"Alexandria, LA",msa,LA,2021,0.1744919203685639,0.2584908973133173,10780,6160094.0,51240.0
61,394314,286,"Alexandria, LA",msa,LA,2022,0.2152299677598582,0.265632170809358,10780,6019646.0,51601.0
62,394314,286,"Alexandria, LA",msa,LA,2023,0.4014294729523118,0.2425943745780074,10780,6085726.0,53765.0
63,394318,70,"Allentown, PA",msa,PA,2015,0.2501685398176501,0.201866954361895,10900,42867530.0,47673.0
64,394318,70,"Allentown, PA",msa,PA,2016,0.2509300062181587,0.2026749870047852,10900,44009635.0,48886.0
65,394318,70,"Allentown, PA",msa,PA,2017,0.2414856301682746,0.2044957116430634,10900,44541436.0,50126.0
66,394318,70,"Allentown, PA",msa,PA,2018,0.1875186967259218,0.2038847368040209,10900,44764523.0,52119.0
67,394318,70,"Allentown, PA",msa,PA,2019,0.1710471200416986,0.2063242904145138,10900,46548544.0,54955.0
68,394318,70,"Allentown, PA",msa,PA,2020,0.2140246736047209,0.2108132491873092,10900,44640909.0,58589.0
69,394318,70,"Allentown, PA",msa,PA,2021,0.2289814740124385,0.2317638298969916,10900,46296228.0,61836.0
70,394318,70,"Allentown, PA",msa,PA,2022,0.2988341927615554,0.2430543261726432,10900,47283842.0,62900.0
71,394318,70,"Allentown, PA",msa,PA,2023,0.3265031391949752,0.2392502812846498,10900,49056765.0,66493.0
72,394321,340,"Altoona, PA",msa,PA,2015,0.168617068012183,0.1775085168117227,11020,5702495.0,40957.0
73,394321,340,"Altoona, PA",msa,PA,2016,0.2062469642979517,0.174881721030927,11020,5795705.0,41617.0
74,394321,340,"Altoona, PA",msa,PA,2017,0.2143674885008274,0.1978625203771762,11020,5849536.0,42768.0
75,394321,340,"Altoona, PA",msa,PA,2018,0.2050098827753254,0.216901328416879,11020,5944931.0,44994.0
76,394321,340,"Altoona, PA",msa,PA,2019,0.2195765298315125,0.2231206240625502,11020,6081711.0,46395.0
77,394321,340,"Altoona, PA",msa,PA,2020,0.1811249899367976,0.2266826763207739,11020,5906303.0,50793.0
78,394321,340,"Altoona, PA",msa,PA,2021,0.1783614729205278,0.234666941343553,11020,6124259.0,54826.0
79,394321,340,"Altoona, PA",msa,PA,2022,0.2220542259385832,0.2505100288141624,11020,6113273.0,55071.0
80,394321,340,"Altoona, PA",msa,PA,2023,0.2462141607002519,0.2067520704523497,11020,6198024.0,57782.0
81,394323,186,"Amarillo, TX",msa,TX,2015,0.1921328918415833,0.2193420753377718,11100,13389635.0,42739.0
82,394323,186,"Amarillo, TX",msa,TX,2016,0.1901938256024942,0.2138530598230059,11100,13198310.0,42493.0
83,394323,186,"Amarillo, TX",msa,TX,2017,0.2001884168945514,0.210838000341144,11100,13044032.0,44028.0
84,394323,186,"Amarillo, TX",msa,TX,2018,0.2163618662473924,0.2154698948110991,11100,13439341.0,45744.0
85,394323,186,"Amarillo, TX",msa,TX,2019,0.20636609506286,0.2126531489771671,11100,13785723.0,48372.0
86,394323,186,"Amarillo, TX",msa,TX,2020,0.1973842022604126,0.214779781057564,11100,13850704.0,51696.0
87,394323,186,"Amarillo, TX",msa,TX,2021,0.2029126297259209,0.2203692823796353,11100,14398438.0,55923.0
88,394323,186,"Amarillo, TX",msa,TX,2022,0.2567355152685773,0.2298106362522161,11100,14399408.0,56643.0
89,394323,186,"Amarillo, TX",msa,TX,2023,0.2830917549154104,0.2326853227114682,11100,14958128.0,60182.0
90,394325,336,"Ames, IA",msa,IA,2015,0.2152381538089148,0.1718763287707746,11180,6378329.0,39816.0
91,394325,336,"Ames, IA",msa,IA,2016,0.2074429697246435,0.1687661995737939,11180,6262087.0,39975.0
92,394325,336,"Ames, IA",msa,IA,2017,0.2135350187374762,0.1808843264577924,11180,6445208.0,40704.0
93,394325,336,"Ames, IA",msa,IA,2018,0.2188897671456594,0.1796892821380643,11180,6563479.0,42837.0
94,394325,336,"Ames, IA",msa,IA,2019,0.2175007986656635,0.1815853661957887,11180,6650160.0,44051.0
95,394325,336,"Ames, IA",msa,IA,2020,0.19926098944043,0.1767802418013268,11180,6490136.0,45990.0
96,394325,336,"Ames, IA",msa,IA,2021,0.206899185469565,0.1820867516400081,11180,6930649.0,49396.0
97,394325,336,"Ames, IA",msa,IA,2022,0.259617811128798,0.1825727364265348,11180,6967531.0,54141.0
98,394325,336,"Ames, IA",msa,IA,2023,0.29328707536982,0.1841998204692893,11180,6953270.0,55770.0
99,394327,139,"Anchorage, AK",msa,AK,2015,0.2435606198776494,0.1979084620875089,11260,25917694.0,58826.0
100,394327,139,"Anchorage, AK",msa,AK,2016,0.2444012464147522,0.1947358979913385,11260,26237799.0,57352.0
101,394327,139,"Anchorage, AK",msa,AK,2017,0.2480403291942275,0.1896681769287662,11260,25842697.0,58121.0
102,394327,139,"Anchorage, AK",msa,AK,2018,0.2642605247393972,0.1920526689840497,11260,26029809.0,60695.0
103,394327,139,"Anchorage, AK",msa,AK,2019,0.2531203779448148,0.187362411964909,11260,25958441.0,62030.0
104,394327,139,"Anchorage, AK",msa,AK,2020,0.2385067577694946,0.1884119152347375,11260,25275142.0,63690.0
105,394327,139,"Anchorage, AK",msa,AK,2021,0.2276584930173238,0.1865039370133874,11260,25922394.0,67198.0
106,394327,139,"Anchorage, AK",msa,AK,2022,0.3038774887451628,0.1993712053736155,11260,26293784.0,71166.0
107,394327,139,"Anchorage, AK",msa,AK,2023,0.3398750505875894,0.2069158271601474,11260,27263177.0,73829.0
108,394332,148,"Ann Arbor, MI",msa,MI,2015,0.2629346980693393,0.3049508857238672,11460,22761254.0,51521.0
109,394332,148,"Ann Arbor, MI",msa,MI,2016,0.2655600529020037,0.3034354369912811,11460,23269214.0,53257.0
110,394332,148,"Ann Arbor, MI",msa,MI,2017,0.2699447356807421,0.3028924515115143,11460,24040003.0,55491.0
111,394332,148,"Ann Arbor, MI",msa,MI,2018,0.2760887137245627,0.2999867542750865,11460,24649772.0,57765.0
112,394332,148,"Ann Arbor, MI",msa,MI,2019,0.2637433181338444,0.3022098729686854,11460,25636942.0,60743.0
113,394332,148,"Ann Arbor, MI",msa,MI,2020,0.2591161004059755,0.2986047744524019,11460,24986674.0,63356.0
114,394332,148,"Ann Arbor, MI",msa,MI,2021,0.2707485133687015,0.3156161052315436,11460,26296924.0,70844.0
115,394332,148,"Ann Arbor, MI",msa,MI,2022,0.3988182024153399,0.3321980309343126,11460,26969477.0,72867.0
116,394332,148,"Ann Arbor, MI",msa,MI,2023,0.4509986045377445,0.3391839096053842,11460,27760301.0,77537.0
117,394333,357,"Anniston, AL",msa,AL,2015,0.1661699177803611,0.1938239213692851,11500,4145820.0,33651.0
118,394333,357,"Anniston, AL",msa,AL,2016,0.155430228100541,0.1906394063986773,11500,4201651.0,34013.0
119,394333,357,"Anniston, AL",msa,AL,2017,0.1583294828822029,0.184773799795824,11500,4244400.0,34695.0
120,394333,357,"Anniston, AL",msa,AL,2018,0.1658369615058224,0.1786642340433066,11500,4342966.0,35643.0
121,394333,357,"Anniston, AL",msa,AL,2019,0.1624075135212916,0.1755761924738928,11500,4566934.0,36761.0
122,394333,357,"Anniston, AL",msa,AL,2020,0.1545663196039446,0.1777658050802522,11500,4454207.0,39562.0
123,394333,357,"Anniston, AL",msa,AL,2021,0.162557725239745,0.203122822339992,11500,4704903.0,43215.0
124,394333,357,"Anniston, AL",msa,AL,2022,0.2098831605222131,0.2456505215149354,11500,4593362.0,42668.0
125,394333,357,"Anniston, AL",msa,AL,2023,0.2363386233312648,0.2176136247685822,11500,4764871.0,44737.0
126,394334,197,"Appleton, WI",msa,WI,2015,0.1906469135295153,0.1635865750657006,11540,13163364.0,45447.0
127,394334,197,"Appleton, WI",msa,WI,2016,0.1867930487422611,0.1676670672599771,11540,13548679.0,46659.0
128,394334,197,"Appleton, WI",msa,WI,2017,0.1960703227969244,0.1659872720960018,11540,13810008.0,48158.0
129,394334,197,"Appleton, WI",msa,WI,2018,0.209694528146898,0.1631452533105601,11540,14241692.0,49971.0
130,394334,197,"Appleton, WI",msa,WI,2019,0.2053694280042007,0.164301459318092,11540,14559468.0,51944.0
131,394334,197,"Appleton, WI",msa,WI,2020,0.199141024444389,0.1673042704037561,11540,13899096.0,54662.0
132,394334,197,"Appleton, WI",msa,WI,2021,0.2018875788799045,0.1787062805056108,11540,14304265.0,59152.0
133,394334,197,"Appleton, WI",msa,WI,2022,0.2488944962736683,0.1637485656751531,11540,14458872.0,61306.0
134,394334,197,"Appleton, WI",msa,WI,2023,0.2819288309392565,0.1644177549503777,11540,14587128.0,64216.0
135,394338,121,"Asheville, NC",msa,NC,2015,0.2625728788831555,0.2513674194980573,11700,18318327.0,39942.0
136,394338,121,"Asheville, NC",msa,NC,2016,0.2717577488420968,0.2599929877046172,11700,18957843.0,41304.0
137,394338,121,"Asheville, NC",msa,NC,2017,0.283901631790255,0.262740550616069,11700,19857995.0,42857.0
138,394338,121,"Asheville, NC",msa,NC,2018,0.3061532898252346,0.2655935421482752,11700,20527515.0,44974.0
139,394338,121,"Asheville, NC",msa,NC,2019,0.2772922181556628,0.2581772682824719,11700,21327114.0,47747.0
140,394338,121,"Asheville, NC",msa,NC,2020,0.2601688513525486,0.2562391294265645,11700,20197261.0,50202.0
141,394338,121,"Asheville, NC",msa,NC,2021,0.2841383861331518,0.2764588655797358,11700,21585685.0,55707.0
142,394338,121,"Asheville, NC",msa,NC,2022,0.3859809398687057,0.3048066759826713,11700,22341153.0,58103.0
143,394338,121,"Asheville, NC",msa,NC,2023,0.444883324977356,0.3139402810103223,11700,23014243.0,62050.0
144,394346,217,"Athens, GA",msa,GA,2015,0.2499518435709209,0.2714381652601213,12020,9236868.0,35999.0
